UniProt ID	Gene	pLDDT	UniProt Annotation	Swiss-Prot	UniProt	AlphaFold-Proteomes	Most frequent hit	Most frequent hit n
A0A644F191	GL50803_17412	60.06	Chromosome segregation protein SMC	None	Non-specific dna binding spt2	None	Non-specific dna binding spt2	1
A0A644F0L0	GL50803_15292	89.51	PQ loop repeat-containing protein	Solute carrier family 66 member 2	PQ loop repeat-containing protein	PQ loop repeat protein	Bidirectional sugar transporter SWEET	101
A0A644F0Y1	GL50803_114218	91.09	Tubulin gamma chain	Tubulin gamma-2 chain	Tubulin gamma chain	Tubulin gamma-2 chain	Tubulin beta chain	428
A0A644F159	GL50803_113439	87.96	VSP with INR	Major surface-labeled trophozoite antigen 417	Major surface-labeled trophozoite antigen 417	R-spondin 2	Variant-specific surface protein	248
A0A644F0M5	GL50803_18471	87.36	Uncharacterized protein	Ribonuclease P protein component 2	Ribonuclease P	Ribonuclease P/MRP protein subunit POP5	Ribonuclease P	347
A0A644F0Y4	GL50803_36654	46.53	Uncharacterized protein	None	Solute carrier family 37 member 1	Unplaced genomic scaffold supercont1.1, whole genome shotgun sequence	MFS domain-containing protein	32
A0A644F0Z2	GL50803_15324	85.37	Nucleotide-binding protein 35	Cytosolic Fe-S cluster assembly factor nubp1-A	Nubp1 protein	Cytosolic Fe-S cluster assembly factor NUBP1 homolog	Iron-sulfur cluster carrier protein	450
A0A644F198	GL50803_7566	68	Uncharacterized protein	None	None	None	None	0
A0A644F1E4	GL50803_23800	79.77	Uncharacterized protein	Magnesium transporter MRS2-C	Magnesium transporter	Magnesium transporter	Magnesium transporter	65
A0A644F0H9	GL50803_9605	85.67	Ankyrin repeat protein	GTP-binding protein A	Ankyrin repeat protein	Unplaced genomic scaffold supercont1.3, whole genome shotgun sequence	G domain-containing protein	144
A0A644F029	GL50803_61272	85.39	NTF2 domain-containing protein	Ras GTPase-activating protein-binding protein 1	Cell division control protein 50	NTF2 domain-containing protein	SnoaL-like domain-containing protein	251
A0A644F0H2	GL50803_8051	44.2	Uncharacterized protein	None	None	None	None	0
A0A644F050	GL50803_14752	42.15	Uncharacterized protein	TEL2-interacting protein 2	Exportin-6	Exportin-6	Exportin-6	3
A0A644F0P6	GL50803_21367	33.76	Uncharacterized protein	None	None	None	None	0
A0A644F0I3	GL50803_61303	85.78	Uncharacterized protein	Mitochondrial import inner membrane translocase subunit Tim8	Mitochondrial import inner membrane translocase subunit	Mitochondrial import inner membrane translocase subunit	zf-Tim10_DDP domain-containing protein	149
A0A644F0W1	GL50803_6888	70.12	Pre-rRNA-processing protein TSR2	Pre-rRNA-processing protein TSR2 homolog	Pre-rRNA-processing protein TSR2	Pre-rRNA-processing protein TSR2 homolog	Pre-rRNA-processing protein TSR2 homolog	188
A0A644F0T8	GL50803_16348	69.12	Alpha-tubulin N-acetyltransferase	Alpha-tubulin N-acetyltransferase	Alpha-tubulin N-acetyltransferase	Alpha-tubulin N-acetyltransferase	Alpha-tubulin N-acetyltransferase	281
A0A644F1A9	GL50803_14486	94.16	YbaK/prolyl-tRNA synthetase-like protein	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	YbaK/prolyl-tRNA synthetase-like protein	tRNA_edit domain-containing protein	Proline--tRNA ligase	406
A0A644F026	GL50803_61271	55.72	Uncharacterized protein	Kinesin-like protein KIN-5D	Kinesin-like protein	Kinesin motor domain-containing protein	Kinesin-like protein	289
A0A644F0V8	GL50803_17393	73.98	Nucleotidyl transferase	Tyrosine--tRNA ligase, cytoplasmic	Tyrosyl-tRNA synthetase	Tyrosine--tRNA ligase	Tyrosine--tRNA ligase	481
A0A644F0E1	GL50803_61276	28.5	Uncharacterized protein	None	None	None	None	0
A0A644F048	GL50803_221691	35	Histone methyltransferase HMT2	Histone-lysine N-methyltransferase SUVR5	Predicted protein	Histone-lysine N-methyltransferase SUVR5	SET domain-containing protein	7
A0A644F158	GL50803_33279	79.35	VSP	None	VSP	None	Variant-specific surface protein	91
A0A644F0Y6	GL50803_14174	68.17	Glutamate-rich WD-repeat protein	Glutamate-rich WD repeat-containing protein 1	WD40 repeat	WD_REPEATS_REGION domain-containing protein	WD_REPEATS_REGION domain-containing protein	91
A0A644F037	GL50803_61270	54.15	SUN domain protein	None	Spindle pole body associated protein	None	F5/8 type C domain-containing protein	10
A0A644F090	GL50803_50332	86.02	High cysteine membrane protein	Major surface-labeled trophozoite antigen 417	Variant-specific surface protein	P/Homo B domain-containing protein	Variant-specific surface protein	229
A0A644F1F3	GL50803_12820	84.16	ABC transporter family protein	ABC transporter A family member 9	ABC transporter family protein	ATPase_AAA_core domain-containing protein	Phosphate import ATP-binding protein PstB	233
A0A644F045	GL50803_5604	66.07	Nascent polypeptide-associated complex subunit beta	Nascent polypeptide-associated complex subunit alpha	Nascent polypeptide-associated complex subunit beta	Alpha-NAC	Transcription factor BTF3	286
A0A644F0P9	GL50803_11486	88.88	20S proteasome alpha subunit 7	Proteasome subunit alpha type-3	Proteasome subunit alpha type	Proteasome subunit alpha type-3	Proteasome subunit beta	500
